Date_Start,Start Time (Sask),Start Time (EDT),Away,Away Score,Home,Home Score,Status,Away Starter,Home Starter,Winner,Loser,Save,O/U,Over,Under,Away ML,Home ML,Home RL Spread,RL Away,RL Home
2025-03-29 19:15:00,5:15 PM,7:15 PM,Atlanta Braves,0,San Diego Padres,1,Final,Spencer Schwellenbach,Randy Vásquez,Wandy Peralta,Aaron Bummer,Adrian Morejon,8.0,-105,-115,-155,+130,+1.5,+110,-130
2025-03-29 20:10:00,6:10 PM,8:10 PM,Chicago Cubs,4,Arizona Diamondbacks,3,Final,Shota Imanaga,Brandon Pfaadt,Shota Imanaga,Brandon Pfaadt,Ryan Pressly,9.0,-105,-115,+100,-120,-1.5,-200,+165
2025-03-29 21:10:00,7:10 PM,9:10 PM,Detroit Tigers,3,Los Angeles Dodgers,7,Final,Reese Olson,Roki Sasaki,Anthony Banda,Reese Olson,No Save,7.5,-105,-115,+165,-200,-1.5,-115,-105
2025-03-29 21:40:00,7:40 PM,9:40 PM,Athletics,4,Seattle Mariners,2,Final,Osvaldo Bido,Bryce Miller,Osvaldo Bido,Bryce Miller,Mason Miller,7.0,-115,-105,+150,-180,-1.5,-160,+135
2025-03-30 13:35:00,11:35 AM,1:35 PM,Philadelphia Phillies,1,Washington Nationals,5,Final,Aaron Nola,Mitchell Parker,Mitchell Parker,Aaron Nola,Kyle Finnegan,9.0,-105,-115,-140,+120,+1.5,+115,-135
2025-03-30 13:35:00,11:35 AM,1:35 PM,Philadelphia Phillies,1,Washington Nationals,5,Final,Aaron Nola,Mitchell Parker,Mitchell Parker,Aaron Nola,Kyle Finnegan,8.5,-105,-115,+125,-150,-1.5,-170,+145
2025-03-30 13:35:00,11:35 AM,1:35 PM,Milwaukee Brewers,3,New York Yankees,12,Final,Aaron Civale,Marcus Stroman,Tim Hill,Aaron Civale,No Save,9.0,-105,-115,-140,+120,+1.5,+115,-135
2025-03-30 13:35:00,11:35 AM,1:35 PM,Milwaukee Brewers,3,New York Yankees,12,Final,Aaron Civale,Marcus Stroman,Tim Hill,Aaron Civale,No Save,8.5,-105,-115,+125,-150,-1.5,-170,+145
2025-03-30 13:37:00,11:37 AM,1:37 PM,Baltimore Orioles,1,Toronto Blue Jays,3,Final,Tomoyuki Sugano,Chris Bassitt,Chris Bassitt,Tomoyuki Sugano,Jeff Hoffman,9.0,100,-120,+115,-135,-1.5,-180,+150
2025-03-30 13:40:00,11:40 AM,1:40 PM,San Francisco Giants,6,Cincinnati Reds,3,Final,Robbie Ray,Nick Martinez,Robbie Ray,Nick Martinez,Camilo Doval,8.0,-115,-105,-125,+105,+1.5,+135,-160
2025-03-30 13:40:00,11:40 AM,1:40 PM,San Francisco Giants,6,Cincinnati Reds,3,Final,Robbie Ray,Nick Martinez,Robbie Ray,Nick Martinez,Camilo Doval,7.5,-115,-105,+155,-185,-1.5,-140,+120
2025-03-30 13:40:00,11:40 AM,1:40 PM,San Francisco Giants,6,Cincinnati Reds,3,Final,Robbie Ray,Nick Martinez,Robbie Ray,Nick Martinez,Camilo Doval,7.5,-115,-105,+105,-125,-1.5,-210,+175
2025-03-30 13:40:00,11:40 AM,1:40 PM,Colorado Rockies,4,Tampa Bay Rays,6,Final,Ryan Feltner,Taj Bradley,Taj Bradley,Luis Peralta,Pete Fairbanks,8.0,-115,-105,-125,+105,+1.5,+135,-160
2025-03-30 13:40:00,11:40 AM,1:40 PM,Colorado Rockies,4,Tampa Bay Rays,6,Final,Ryan Feltner,Taj Bradley,Taj Bradley,Luis Peralta,Pete Fairbanks,7.5,-115,-105,+155,-185,-1.5,-140,+120
2025-03-30 13:40:00,11:40 AM,1:40 PM,Colorado Rockies,4,Tampa Bay Rays,6,Final,Ryan Feltner,Taj Bradley,Taj Bradley,Luis Peralta,Pete Fairbanks,7.5,-115,-105,+105,-125,-1.5,-210,+175
2025-03-30 13:40:00,11:40 AM,1:40 PM,Pittsburgh Pirates,2,Miami Marlins,3,Final,Andrew Heaney,Max Meyer,Anthony Bender,David Bednar,No Save,8.0,-115,-105,-125,+105,+1.5,+135,-160
2025-03-30 13:40:00,11:40 AM,1:40 PM,Pittsburgh Pirates,2,Miami Marlins,3,Final,Andrew Heaney,Max Meyer,Anthony Bender,David Bednar,No Save,7.5,-115,-105,+155,-185,-1.5,-140,+120
2025-03-30 13:40:00,11:40 AM,1:40 PM,Pittsburgh Pirates,2,Miami Marlins,3,Final,Andrew Heaney,Max Meyer,Anthony Bender,David Bednar,No Save,7.5,-115,-105,+105,-125,-1.5,-210,+175
2025-03-30 14:10:00,12:10 PM,2:10 PM,Cleveland Guardians,6,Kansas City Royals,2,Final,Tanner Bibee,Michael Wacha,Tanner Bibee,Michael Wacha,No Save,7.0,-115,-105,-105,-115,-1.5,-220,+180
2025-03-30 14:10:00,12:10 PM,2:10 PM,Cleveland Guardians,6,Kansas City Royals,2,Final,Tanner Bibee,Michael Wacha,Tanner Bibee,Michael Wacha,No Save,8.5,-105,-115,-125,+105,+1.5,+130,-155
2025-03-30 14:10:00,12:10 PM,2:10 PM,Los Angeles Angels,3,Chicago White Sox,2,Final,Jack Kochanowicz,Davis Martin,Ben Joyce,Cam Booser,Kenley Jansen,7.0,-115,-105,-105,-115,-1.5,-220,+180
2025-03-30 14:10:00,12:10 PM,2:10 PM,Los Angeles Angels,3,Chicago White Sox,2,Final,Jack Kochanowicz,Davis Martin,Ben Joyce,Cam Booser,Kenley Jansen,8.5,-105,-115,-125,+105,+1.5,+130,-155
2025-03-30 14:15:00,12:15 PM,2:15 PM,Minnesota Twins,2,St. Louis Cardinals,9,Final,Bailey Ober,Andre Pallante,Andre Pallante,Bailey Ober,Steven Matz,8.5,100,-120,-110,-110,+1.5,+150,-180
